OBJECTID,TRACT,SUM_POPULATION,ShapeSTArea,ShapeSTLength
126,48029150400,3974,15253932.2265625,17456.0950428164
127,48029150501,4372,14744608.171875,17804.7679077658
128,48029150502,3940,14404057.4394531,16197.4139112485
129,48029150600,4371,20347690.328125,18332.992331592
130,48029150700,6162,23943527.9628906,20448.0260986321
131,48029150800,3165,47614245.1972656,32967.5306718168
132,48029150900,5913,29639999.4609375,22821.2370050448
133,48029151000,3365,17043703.7304688,16470.1559769463
134,48029151100,6936,37269754.5625,26983.2858728856
135,48029151200,9620,75652712.296875,38691.4383250147
136,48029151301,5368,38474500.03125,26919.1591175578
137,48029151302,3148,35165354.3359375,25614.8477129042
138,48029151400,4507,20253179.1777344,18148.171098039
139,48029151500,2573,20983866.6132812,20462.8514919699
140,48029151600,7244,33185695.5332031,23211.805762339
141,48029151700,6423,67859972.5429688,39378.2805124533
142,48029151900,5113,425580483.939453,113260.806029313
143,48029152000,1896,499250606.125,114011.948964238
144,48029152100,6248,1204029528.63477,172355.010898534
145,48029152201,8089,899343714.578125,160242.486023069
146,48029152202,4589,809125451.964844,156818.989103319
147,48029160100,5794,28067785.1972656,24571.3641274892
148,48029160200,2676,11714665.1914062,14808.4937864812
149,48029160300,5228,18986206.71875,18976.0055212534
150,48029160400,4557,30514564.3710938,22965.3080168478
151,48029160501,4117,14857481.265625,18037.301569421
152,48029160502,4096,20930604.4238281,18783.6336162775
153,48029160600,4899,23682670.7480469,24512.0862131166
154,48029160701,3392,28586081.6113281,24950.4450002344
155,48029160702,5314,31541039.8691406,26340.5712007219
156,48029160901,3164,26727264.5429688,32827.7042778227
157,48029160902,4564,27880126.796875,33777.8181194615
158,48029161000,3898,79963844.3417969,41250.1924614321
159,48029161100,8623,109039905.193359,58881.7156284905
160,48029161200,2894,500791481.257812,129665.908652247
161,48029161302,5889,36970748.2910156,25343.9940843898
162,48029161303,4503,12732225.6542969,18482.2887732505
163,48029161304,4290,70500754.296875,46515.430076536
164,48029161400,9945,119830749.09375,57405.452483278
165,48029161501,7656,43569361.21875,29164.3570805936
166,48029161503,3901,25086526.4179688,28313.3808682163
167,48029161504,4341,24920384.9921875,28124.4797263585
168,48029161600,3958,69543338.3710938,85848.8906976014
169,48029161801,4028,23856496.3261719,25112.9370130768
170,48029161802,5319,240374795.957031,96786.00776366
171,48029161901,1341,222189071.029297,69207.01368584
172,48029161902,9032,1346432990.99414,160092.769335871
173,48029162001,2243,504907895.964844,124652.699360349
174,48029162003,5324,488854582.923828,124776.969390755
175,48029162004,4182,593113095.730469,108231.824167519
176,48029170101,3839,12875851.3496094,14524.5458951092
177,48029170102,3796,13216504.5878906,14859.0428448788
178,48029170200,5382,18624911.4511719,17668.1053210606
179,48029170300,6299,21813967.1621094,20987.3519801166
180,48029170401,4634,14497007.2128906,19913.7304980762
181,48029170402,5197,16705956.0488281,18419.5727204344
182,48029170500,4585,24687809.7617188,22049.1287344741
183,48029170600,4628,20901786.8007812,19563.979724814
184,48029170700,4870,20029330.5820312,19160.2131197585
185,48029170800,1568,11040519.6484375,13387.0138710546
186,48029170900,4324,19997697.9042969,19168.3522035061
187,48029171000,5472,16571170.4453125,17622.5125558741
188,48029171100,3720,19880445.1621094,19882.1119550493
189,48029171200,4384,25204861.359375,23356.0530772511
