stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
26326,26326,PLEASANTON RD. & ROBERT E. LEE,,29.37044,-98.504161,,,,,,0
16626,16626,PLEASANTON RD. & STONEWALL,,29.373409,-98.504203,,,,,,0
16226,16226,PLEASANTON RD. IN FRONT OF 814,,29.375575,-98.504235,,,,,,0
96726,96726,PLEASANTON RD. & KOEPKE,,29.377308,-98.504225,,,,,,0
96326,96326,PLEASANTON RD. & DIVISION,,29.379465,-98.504226,,,,,,0
86936,86936,PLEASANTON RD. & TOMMINS,,29.381035,-98.504226,,,,,,0
86536,86536,PLEASANTON RD. & NEAL,,29.383472,-98.504165,,,,,,0
76746,76746,S. FLORES & MALONE,,29.386829,-98.503477,,,,,,0
76546,76546,S. FLORES & THEO,,29.38784,-98.50357,,,,,,0
76236,76236,S. FLORES IN FRONT 3432,,29.389491,-98.503735,,,,,,0
66836,66836,S. FLORES & FRANCISCAN,,29.391242,-98.50389,,,,,,0
66426,66426,S. FLORES OPPOSITE RIPFORD,,29.393372,-98.504086,,,,,,0
56926,56926,S. FLORES OPPOSITE BIG FOOT,,29.395068,-98.504272,,,,,,0
56626,56626,S. FLORES OPPOSITE LUBBOCK,,29.396638,-98.504376,,,,,,0
56316,56316,S. FLORES OPPOSITE PRUITT,,29.398831,-98.504572,,,,,,0
46836,46836,S. FLORES & BANK,,29.400952,-98.504079,,,,,,0
46446,46446,S. FLORES & HELENA,,29.402667,-98.503482,,,,,,0
46156,46156,S. FLORES OPPOSITE STRIBLING,,29.404544,-98.502844,,,,,,0
36586,36586,S. FLORES & SIMON,,29.407179,-98.501938,,,,,,0
27726,27726,S. FLORES & SPRR,,29.410617,-98.500703,,,,,,0
28933,28933,S. ALAMO & PROBANDT,,29.409743,-98.497097,,,,,,0
29636,29636,S. ALAMO & WICKES,,29.411548,-98.493265,,,,,,0
86927,86927,S. FRIO IN FRONT OF 301,,29.424152,-98.504179,,,,,,0
96127,96127,S. FRIO IN FRONT OF 401,,29.422417,-98.504405,,,,,,0
96917,96917,S. FRIO & SAN FERNANDO,,29.419737,-98.504749,,,,,,0
16317,16317,S. FRIO & GUADALUPE,,29.417601,-98.504888,,,,,,0
14249,14249,GUADALUPE & RICHTER,Guadalupe St & S San Marcos,29.418136,-98.510736,,,,,,0
14229,14229,GUADALUPE & COLORADO,Guadalupe St & S Richter St,29.418235,-98.51187,,,,,,0
12289,12289,GUADALUPE & SAN JACINTO,Guadalupe St & S San Jacinto St,29.418701,-98.517021,,,,,,0
12229,12229,GUADALUPE & TRINITY,Guadalupe St & S Trinity St,29.418863,-98.518814,,,,,,0
11159,11159,GUADALUPE & SABINAS,Guadalupe St & S Sabinas St,29.419069,-98.521112,,,,,,0
19189,19189,GUADALUPE & NAVIDAD,Guadalupe St & S Navidad St,29.419249,-98.52309,,,,,,0
99939,99939,GUADALUPE & CALAVERAS,Guadalupe St & S Chupaderas St,29.419473,-98.525686,,,,,,0
97979,97979,GUADALUPE OPPOSITE NUEVO LEON,Guadalupe St & Nueva Leon St,29.419939,-98.530859,,,,,,0
97849,97849,GUADALUPE & HAMILTON,Guadalupe St & Nueva Leon St,29.420073,-98.532363,,,,,,0
96889,96889,GUADALUPE & PICOSO,Guadalupe St & Sw 18th St,29.420261,-98.534269,,,,,,0
96839,96839,GUADALUPE & MINTER,Guadalupe St & Sw 18th St,29.420387,-98.535763,,,,,,0
96819,96819,CASTROVILLE & S.W. 19TH,Guadalupe St & S Minter St,29.420485,-98.537092,,,,,,0
95949,95949,CASTROVILLE & S.W. 21ST.,Castroville Rd & Sw 21st St,29.419987,-98.539379,,,,,,0
94979,94979,CASTROVILLE & BARCLAY,,29.419471,-98.541782,,,,,,0
13299,13299,CASTROVILLE OPPOSITE 416,Castroville Rd & Sw 25th St,29.418819,-98.544437,,,,,,0
13259,13259,CASTROVILLE & 26TH,,29.418385,-98.546449,,,,,,0
13319,13319,CASTROVILLE IN FRONT OF LAS PALMAS,,29.417896,-98.54856,,,,,,0
96873,96873,GUADALUPE & S.W. 18TH,Guadalupe St & Sw 18th St,29.42027,-98.53498,,,,,,0
97843,97843,GUADALUPE & HAMILTON,Guadalupe St & Hamilton Ave,29.420046,-98.532662,,,,,,0
97973,97973,GUADALUPE & NUEVO LEON,,29.419874,-98.531047,,,,,,0
99933,99933,GUADALUPE & CALAVERAS,,29.419389,-98.525844,,,,,,0
19183,19183,GUADALUPE & NAVIDAD,,29.419191,-98.523619,,,,,,0
11153,11153,GUADALUPE & SABINAS,,29.418976,-98.521331,,,,,,0
12223,12223,GUADALUPE & TRINITY,,29.418769,-98.519013,,,,,,0
12283,12283,GUADALUPE & SAN JACINTO,,29.418563,-98.516788,,,,,,0
14313,14313,GUADALUPE & COLORADO,,29.418158,-98.512306,,,,,,0
14243,14243,GUADALUPE OPPOSITE RICHTER,,29.418005,-98.510905,,,,,,0
16316,16316,S. FRIO & GUADALUPE,,29.417872,-98.504857,,,,,,0
96916,96916,S. FRIO & SAN FERNANDO,,29.419721,-98.504621,,,,,,0
96426,96426,S. FRIO & CESAR CHAVEZ BLVD,,29.422456,-98.50422,,,,,,0
29197,29197,S. ALAMO & BEAUREGARD,,29.414012,-98.490907,,,,,,0
29547,29547,S. ALAMO & JOHNSON,,29.411747,-98.493018,,,,,,0
27759,27759,S. ALAMO & NATHAN,,29.410771,-98.499457,,,,,,0
27727,27727,S. FLORES & SPRR,,29.410717,-98.500755,,,,,,0
36677,36677,S. FLORES & MKTRR,,29.40634,-98.502288,,,,,,0
46157,46157,S. FLORES & STRIBLING,,29.404625,-98.502875,,,,,,0
46447,46447,S. FLORES & FURNISH,,29.403082,-98.50341,,,,,,0
46837,46837,S. FLORES IN FRONT OF 2327,,29.40115,-98.504068,,,,,,0
56317,56317,S. FLORES & PRUITT,,29.398921,-98.504634,,,,,,0
56617,56617,S. FLORES & LUBBOCK,,29.396701,-98.504448,,,,,,0
56917,56917,S. FLORES & BIG FOOT,,29.395239,-98.504355,,,,,,0
66427,66427,S. FLORES & RIPFORD,,29.393525,-98.504179,,,,,,0
66837,66837,S. FLORES & FRANCISCAN,,29.391675,-98.503993,,,,,,0
76237,76237,S. FLORES & ELSIE,,29.389554,-98.503807,,,,,,0
76547,76547,S. FLORES & THEO,,29.388065,-98.503642,,,,,,0
76747,76747,S. FLORES & MALONE,,29.387,-98.503549,,,,,,0
86527,86527,PLEASANTON RD. & WELLINGTON,,29.383318,-98.504258,,,,,,0
86827,86827,PLEASANTON RD. & KAINE,,29.38173,-98.504299,,,,,,0
96327,96327,PLEASANTON RD. & DIVISION,,29.379726,-98.504308,,,,,,0
16227,16227,PLEASANTON RD. & BRIGHTON,,29.375747,-98.504317,,,,,,0
16427,16427,PLEASANTON RD. & HOLLYBERRY,,29.374348,-98.504317,,,,,,0
16827,16827,PLEASANTON RD. & HARLAN,,29.372669,-98.504306,,,,,,0
26327,26327,PLEASANTON RD.  & FITCH,,29.370837,-98.504244,,,,,,0
26637,26637,PLEASANTON RD. & E. SOUTHCROSS,,29.368897,-98.504202,,,,,,0
36237,36237,PLEASANTON RD. & GERALD,,29.365892,-98.504067,,,,,,0
36737,36737,PLEASANTON RD. & PYRON,,29.363229,-98.503942,,,,,,0
46437,46437,PLEASANTON RD. IN FRONT OF 2027,,29.360495,-98.5039,,,,,,0
46627,46627,PLEASANTON RD. & MCCAULEY,,29.358699,-98.50391,,,,,,0
56537,56537,PLEASANTON RD. & GROSVENOR,,29.354737,-98.503919,,,,,,0
56937,56937,PLEASANTON RD. & SUNGLO,,29.352724,-98.503918,,,,,,0
66337,66337,PLEASANTON RD. & CLOVIS,,29.350766,-98.503918,,,,,,0
66737,66737,PLEASANTON RD. & CANTRELL,,29.348717,-98.503917,,,,,,0
76227,76227,PLEASANTON RD. & VESTAL,,29.346722,-98.503916,,,,,,0
76637,76637,PLEASANTON RD. & AMBER,,29.344746,-98.503905,,,,,,0
86137,86137,PLEASANTON RD. & FORMOSA,,29.342634,-98.503894,,,,,,0
86437,86437,PLEASANTON RD. OPPOSITE SAIPAN,,29.340802,-98.503894,,,,,,0
96737,96737,MOURSUND BLVD. & DORSEY,,29.334692,-98.50385,,,,,,0
16247,16247,MOURSUND BLVD. & BAETZ,,29.332724,-98.50386,,,,,,0
16537,16537,MOURSUND BLVD. OPPOSITE 344,,29.330729,-98.503849,,,,,,0
99853,99853,ASHLEY OPPOSITE BASCUM,,29.334098,-98.492447,,,,,,0
12669,12669,GILLETTE  IN FRONT OF 625,Gillette Blvd & Commercial Ave,29.330259,-98.518424,,,,,,0
11596,11596,ESCALON OPPOSITE FAULK,Escalon Ave & Faulk Dr,29.330944,-98.519814,,,,,,0
11296,11296,ESCALON & BAETZ,Escalon Ave & W Baetz Blvd,29.332307,-98.519516,,,,,,0
92296,92296,COMMERCIAL & ANSLEY,,29.33707,-98.516182,,,,,,0
