block_group,B08301_001E,B08301_002E,B08301_003E,B08301_004E,B08301_011E,B08301_021E
480291208003,766.0,717.0,592.0,125.0,0.0,49.0
480291211113,802.0,756.0,682.0,74.0,9.0,0.0
480291211111,594.0,540.0,476.0,64.0,0.0,54.0
480291211112,1019.0,981.0,923.0,58.0,5.0,33.0
480291211114,902.0,861.0,776.0,85.0,18.0,0.0
480291211161,967.0,762.0,762.0,0.0,34.0,0.0
480291211164,871.0,847.0,847.0,0.0,11.0,13.0
480291211162,158.0,143.0,105.0,38.0,0.0,15.0
480291211181,889.0,776.0,721.0,55.0,0.0,113.0
480291211182,1699.0,1654.0,1629.0,25.0,0.0,33.0
480291212031,271.0,271.0,260.0,11.0,0.0,0.0
480291212032,648.0,607.0,536.0,71.0,32.0,9.0
480291212051,1452.0,1323.0,1196.0,127.0,98.0,22.0
480291817182,940.0,895.0,801.0,94.0,0.0,45.0
480291818111,1816.0,1485.0,1408.0,77.0,30.0,112.0
480291902003,602.0,502.0,502.0,0.0,75.0,0.0
480291902004,390.0,343.0,332.0,11.0,0.0,47.0
480291902001,358.0,232.0,206.0,26.0,8.0,79.0
480291802021,415.0,345.0,295.0,50.0,58.0,12.0
480291802023,560.0,480.0,468.0,12.0,33.0,19.0
480291805013,439.0,423.0,368.0,55.0,0.0,16.0
480291805012,258.0,245.0,213.0,32.0,0.0,13.0
480291805011,722.0,610.0,521.0,89.0,66.0,24.0
480291808002,591.0,494.0,430.0,64.0,43.0,13.0
480291808001,396.0,280.0,244.0,36.0,92.0,0.0
480291708002,314.0,254.0,207.0,47.0,60.0,0.0
480291106002,479.0,419.0,322.0,97.0,60.0,0.0
480291504001,173.0,173.0,141.0,32.0,0.0,0.0
480291504002,301.0,292.0,261.0,31.0,9.0,0.0
480291510001,480.0,392.0,381.0,11.0,0.0,0.0
480291521002,497.0,451.0,368.0,83.0,0.0,36.0
480291521001,476.0,406.0,348.0,58.0,0.0,47.0
480291607024,303.0,234.0,191.0,43.0,25.0,0.0
480291607023,449.0,449.0,402.0,47.0,0.0,0.0
