block_group,B24080_001E,B24080_001E_03,B24080_001E_06,B24080_001E_09,B24080_001E_10,B24080_001E_11,B24080_002E,B24080_003E,B24080_006E,B24080_009E_M,B24080_010E,B24080_011E,B24080_012E,B24080_013E,B24080_016E,B24080_019E_M,B24080_020E,B24080_021E
480291109001,1111.0,730.0,113.0,187.0,81.0,0.0,741.0,534.0,29.0,138.0,40.0,0.0,370.0,196.0,84.0,49.0,41.0,0.0
480291110003,735.0,450.0,83.0,156.0,46.0,0.0,375.0,213.0,37.0,85.0,40.0,0.0,360.0,237.0,46.0,71.0,6.0,0.0
480291110002,310.0,227.0,31.0,44.0,8.0,0.0,127.0,100.0,6.0,13.0,8.0,0.0,183.0,127.0,25.0,31.0,0.0,0.0
480291204001,798.0,435.0,115.0,146.0,102.0,0.0,443.0,271.0,55.0,35.0,82.0,0.0,355.0,164.0,60.0,111.0,20.0,0.0
480291204005,522.0,380.0,61.0,22.0,59.0,0.0,190.0,129.0,0.0,22.0,39.0,0.0,332.0,251.0,61.0,0.0,20.0,0.0
480291710004,577.0,541.0,9.0,8.0,8.0,11.0,301.0,284.0,9.0,0.0,8.0,0.0,276.0,257.0,0.0,8.0,0.0,11.0
480291204003,381.0,263.0,21.0,0.0,97.0,0.0,261.0,176.0,21.0,0.0,64.0,0.0,120.0,87.0,0.0,0.0,33.0,0.0
480291207021,1064.0,643.0,148.0,155.0,118.0,0.0,666.0,435.0,66.0,137.0,28.0,0.0,398.0,208.0,82.0,18.0,90.0,0.0
480291704014,329.0,307.0,11.0,11.0,0.0,0.0,180.0,172.0,5.0,3.0,0.0,0.0,149.0,135.0,6.0,8.0,0.0,0.0
480291710001,349.0,320.0,9.0,20.0,0.0,0.0,261.0,243.0,9.0,9.0,0.0,0.0,88.0,77.0,0.0,11.0,0.0,0.0
480291710002,184.0,112.0,17.0,55.0,0.0,0.0,112.0,79.0,17.0,16.0,0.0,0.0,72.0,33.0,0.0,39.0,0.0,0.0
480291717001,971.0,895.0,16.0,49.0,11.0,0.0,442.0,431.0,0.0,0.0,11.0,0.0,529.0,464.0,16.0,49.0,0.0,0.0
480291717003,376.0,307.0,0.0,24.0,45.0,0.0,319.0,264.0,0.0,10.0,45.0,0.0,57.0,43.0,0.0,14.0,0.0,0.0
480291215013,1357.0,1038.0,48.0,246.0,25.0,0.0,644.0,536.0,12.0,92.0,4.0,0.0,713.0,502.0,36.0,154.0,21.0,0.0
480291215011,1374.0,970.0,179.0,141.0,84.0,0.0,791.0,599.0,107.0,85.0,0.0,0.0,583.0,371.0,72.0,56.0,84.0,0.0
480291215074,693.0,622.0,26.0,21.0,24.0,0.0,281.0,270.0,5.0,0.0,6.0,0.0,412.0,352.0,21.0,21.0,18.0,0.0
480291215071,443.0,358.0,14.0,63.0,8.0,0.0,176.0,146.0,9.0,13.0,8.0,0.0,267.0,212.0,5.0,50.0,0.0,0.0
480291215072,432.0,288.0,0.0,91.0,53.0,0.0,246.0,151.0,0.0,58.0,37.0,0.0,186.0,137.0,0.0,33.0,16.0,0.0
480291312002,592.0,471.0,4.0,77.0,40.0,0.0,330.0,278.0,2.0,10.0,40.0,0.0,262.0,193.0,2.0,67.0,0.0,0.0
