block_group,B08134_001E,B08134_003E_M,B08134_006E_M,B08134_009E_M,B08134_010E,B08134_011E,B08134_013E_M,B08134_016E_M,B08134_019E_M,B08134_020E,B08134_071E,B08134_073E_M,B08134_076E_M,B08134_079E_M,B08134_080E
480291517004,427.0,85.0,52.0,228.0,62.0,365.0,85.0,52.0,228.0,0.0,62.0,0.0,0.0,0.0,62.0
480291719031,459.0,93.0,204.0,144.0,18.0,424.0,92.0,203.0,129.0,0.0,33.0,0.0,0.0,15.0,18.0
480291717002,357.0,102.0,156.0,84.0,15.0,315.0,102.0,156.0,42.0,15.0,0.0,0.0,0.0,0.0,0.0
480291719033,647.0,14.0,367.0,266.0,0.0,592.0,14.0,341.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0
480291509004,266.0,87.0,68.0,111.0,0.0,250.0,71.0,68.0,111.0,0.0,16.0,16.0,0.0,0.0,0.0
480291509003,669.0,124.0,213.0,222.0,110.0,597.0,124.0,213.0,222.0,38.0,72.0,0.0,0.0,0.0,72.0
480291705001,496.0,126.0,254.0,116.0,0.0,481.0,126.0,239.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0
480291805041,696.0,140.0,245.0,292.0,19.0,636.0,104.0,245.0,268.0,19.0,24.0,0.0,0.0,24.0,0.0
480291205022,221.0,80.0,108.0,5.0,28.0,193.0,80.0,108.0,5.0,0.0,28.0,0.0,0.0,0.0,28.0
480291205021,534.0,119.0,341.0,38.0,36.0,509.0,119.0,341.0,38.0,11.0,0.0,0.0,0.0,0.0,0.0
480291207014,311.0,130.0,139.0,28.0,14.0,301.0,120.0,139.0,28.0,14.0,0.0,0.0,0.0,0.0,0.0
480291302001,463.0,173.0,188.0,97.0,5.0,417.0,160.0,180.0,77.0,0.0,33.0,0.0,8.0,20.0,5.0
480291410001,258.0,26.0,135.0,58.0,39.0,249.0,26.0,135.0,58.0,30.0,9.0,0.0,0.0,0.0,9.0
480291516005,339.0,135.0,59.0,145.0,0.0,339.0,135.0,59.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0
480291516003,1002.0,106.0,486.0,376.0,34.0,906.0,106.0,464.0,336.0,0.0,73.0,0.0,0.0,40.0,33.0
480291817053,1183.0,378.0,371.0,378.0,56.0,1095.0,344.0,371.0,348.0,32.0,54.0,0.0,0.0,30.0,24.0
480291606002,701.0,151.0,376.0,157.0,17.0,656.0,151.0,360.0,128.0,17.0,45.0,0.0,16.0,29.0,0.0
480291419001,901.0,250.0,326.0,322.0,3.0,883.0,250.0,326.0,304.0,3.0,0.0,0.0,0.0,0.0,0.0
480291515001,354.0,54.0,154.0,143.0,3.0,326.0,54.0,139.0,133.0,0.0,28.0,0.0,15.0,10.0,3.0
480291603001,450.0,121.0,198.0,75.0,56.0,413.0,121.0,189.0,75.0,28.0,9.0,0.0,9.0,0.0,0.0
480291603004,459.0,112.0,308.0,39.0,0.0,449.0,112.0,308.0,29.0,0.0,10.0,0.0,0.0,10.0,0.0
480291613021,1765.0,264.0,888.0,548.0,65.0,1742.0,264.0,865.0,548.0,65.0,0.0,0.0,0.0,0.0,0.0
480291804002,695.0,152.0,416.0,102.0,25.0,617.0,108.0,416.0,93.0,0.0,34.0,0.0,0.0,9.0,25.0
480291807011,665.0,60.0,413.0,168.0,24.0,610.0,45.0,413.0,140.0,12.0,28.0,0.0,0.0,28.0,0.0
480291811001,654.0,270.0,310.0,74.0,0.0,567.0,203.0,290.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0
480291211082,830.0,215.0,397.0,218.0,0.0,813.0,215.0,380.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
480291203004,533.0,254.0,279.0,0.0,0.0,533.0,254.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480291203006,488.0,133.0,250.0,20.0,85.0,488.0,133.0,250.0,20.0,85.0,0.0,0.0,0.0,0.0,0.0
480291506002,631.0,99.0,253.0,234.0,45.0,531.0,84.0,253.0,194.0,0.0,85.0,0.0,0.0,40.0,45.0
480291506001,375.0,70.0,159.0,126.0,20.0,340.0,40.0,159.0,126.0,15.0,5.0,0.0,0.0,0.0,5.0
480291511002,889.0,212.0,448.0,229.0,0.0,854.0,177.0,448.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0
480291105001,493.0,86.0,217.0,150.0,40.0,332.0,76.0,174.0,78.0,4.0,125.0,7.0,25.0,61.0,32.0
480291210002,302.0,105.0,190.0,7.0,0.0,286.0,89.0,190.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
480291210001,265.0,54.0,179.0,32.0,0.0,244.0,33.0,179.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
480291211101,1107.0,225.0,545.0,294.0,43.0,1099.0,217.0,545.0,294.0,43.0,8.0,8.0,0.0,0.0,0.0
480291215063,737.0,168.0,335.0,219.0,15.0,636.0,141.0,308.0,181.0,6.0,101.0,27.0,27.0,38.0,9.0
480291315033,528.0,195.0,141.0,179.0,13.0,528.0,195.0,141.0,179.0,13.0,0.0,0.0,0.0,0.0,0.0
480291315043,1154.0,66.0,560.0,450.0,78.0,1106.0,66.0,560.0,417.0,63.0,48.0,0.0,0.0,33.0,15.0
480291315061,566.0,77.0,295.0,183.0,11.0,555.0,77.0,295.0,172.0,11.0,0.0,0.0,0.0,0.0,0.0
480291315072,540.0,97.0,298.0,116.0,29.0,484.0,81.0,263.0,116.0,24.0,5.0,0.0,0.0,0.0,5.0
480291316062,1560.0,358.0,595.0,576.0,31.0,1550.0,358.0,595.0,576.0,21.0,0.0,0.0,0.0,0.0,0.0
480291316091,941.0,162.0,335.0,379.0,65.0,941.0,162.0,335.0,379.0,65.0,0.0,0.0,0.0,0.0,0.0
480291316101,1511.0,287.0,625.0,533.0,66.0,1462.0,254.0,625.0,533.0,50.0,16.0,0.0,0.0,0.0,16.0
480291316121,938.0,118.0,438.0,373.0,9.0,914.0,118.0,414.0,373.0,9.0,6.0,0.0,6.0,0.0,0.0
480291316141,1758.0,156.0,854.0,701.0,47.0,1697.0,156.0,838.0,694.0,9.0,38.0,0.0,0.0,0.0,38.0
480291316152,1111.0,107.0,336.0,652.0,16.0,1111.0,107.0,336.0,652.0,16.0,0.0,0.0,0.0,0.0,0.0
480291318011,665.0,48.0,156.0,423.0,38.0,661.0,48.0,156.0,423.0,34.0,4.0,0.0,0.0,0.0,4.0
480291318022,310.0,24.0,88.0,184.0,14.0,301.0,15.0,88.0,184.0,14.0,0.0,0.0,0.0,0.0,0.0
480291411012,362.0,141.0,153.0,14.0,54.0,266.0,121.0,131.0,14.0,0.0,74.0,20.0,0.0,0.0,54.0
480291522022,586.0,40.0,205.0,310.0,31.0,586.0,40.0,205.0,310.0,31.0,0.0,0.0,0.0,0.0,0.0
480291411022,223.0,22.0,94.0,100.0,7.0,206.0,14.0,94.0,91.0,7.0,0.0,0.0,0.0,0.0,0.0
480291414031,661.0,122.0,217.0,292.0,30.0,630.0,122.0,217.0,270.0,21.0,0.0,0.0,0.0,0.0,0.0
480291414042,977.0,148.0,448.0,304.0,77.0,835.0,148.0,383.0,304.0,0.0,142.0,0.0,65.0,0.0,77.0
480291605013,205.0,0.0,59.0,146.0,0.0,180.0,0.0,39.0,141.0,0.0,5.0,0.0,0.0,5.0,0.0
480291605023,415.0,86.0,114.0,215.0,0.0,403.0,86.0,102.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
