block_group,C17002_001E,C17002_002E,C17002_003E,C17002_005E_M,C17002_007E_M,C17002_008E
480291804003,754.0,25.0,21.0,336.0,36.0,336.0
480291804001,1929.0,109.0,151.0,93.0,447.0,1129.0
480291807012,2465.0,326.0,136.0,265.0,152.0,1586.0
480291811004,923.0,0.0,292.0,81.0,32.0,518.0
480291811002,924.0,31.0,65.0,16.0,47.0,765.0
480291811003,2829.0,82.0,113.0,188.0,212.0,2234.0
480291909015,1274.0,316.0,12.0,93.0,57.0,796.0
480291909013,367.0,120.0,25.0,29.0,69.0,124.0
480291809014,1045.0,53.0,32.0,0.0,474.0,486.0
480291813031,1960.0,301.0,540.0,259.0,292.0,568.0
480291815041,2049.0,80.0,157.0,535.0,165.0,1112.0
480291815042,2632.0,247.0,129.0,640.0,187.0,1429.0
480291816012,2351.0,242.0,234.0,336.0,200.0,1339.0
480291906011,1731.0,41.0,47.0,323.0,183.0,1137.0
480291818091,1330.0,14.0,9.0,197.0,140.0,970.0
480291818092,2281.0,173.0,379.0,242.0,431.0,1056.0
480291818094,1386.0,100.0,80.0,79.0,132.0,995.0
480291906013,973.0,33.0,91.0,322.0,318.0,209.0
480291910041,1656.0,228.0,352.0,261.0,256.0,559.0
480291910043,849.0,74.0,184.0,147.0,28.0,416.0
480291813022,2394.0,105.0,66.0,105.0,206.0,1912.0
480291212063,786.0,29.0,33.0,76.0,84.0,564.0
480291212061,1294.0,0.0,0.0,0.0,175.0,1119.0
480291212065,2299.0,0.0,303.0,205.0,1199.0,592.0
480291212062,1193.0,0.0,0.0,0.0,79.0,1114.0
480291214022,1233.0,50.0,0.0,43.0,528.0,612.0
480291214021,6269.0,286.0,644.0,1087.0,524.0,3728.0
480291218031,1622.0,25.0,66.0,127.0,92.0,1312.0
480291218032,689.0,27.0,11.0,22.0,170.0,459.0
480291218033,2202.0,116.0,39.0,264.0,33.0,1750.0
480291218041,2224.0,138.0,81.0,151.0,214.0,1640.0
480291218042,3031.0,526.0,34.0,192.0,207.0,2072.0
480291218043,1854.0,378.0,580.0,159.0,307.0,430.0
480291308001,3052.0,339.0,288.0,849.0,469.0,1107.0
480291308004,1543.0,274.0,541.0,282.0,61.0,385.0
480291308002,795.0,153.0,72.0,45.0,232.0,293.0
480291308003,509.0,0.0,245.0,30.0,0.0,234.0
480291311003,902.0,44.0,79.0,63.0,166.0,550.0
480291311002,929.0,116.0,90.0,171.0,146.0,406.0
480291602002,1009.0,4.0,137.0,196.0,118.0,554.0
480291817134,1793.0,85.0,578.0,291.0,169.0,670.0
480291817132,1858.0,0.0,0.0,329.0,264.0,1265.0
480291817133,1878.0,91.0,233.0,76.0,128.0,1350.0
480291815054,1399.0,88.0,0.0,181.0,94.0,1036.0
480291815053,1067.0,57.0,55.0,0.0,107.0,848.0
480291815051,849.0,22.0,21.0,0.0,103.0,703.0
480291817042,1476.0,15.0,525.0,159.0,337.0,440.0
480291817044,985.0,9.0,82.0,0.0,226.0,668.0
480291817111,3392.0,345.0,101.0,0.0,94.0,2852.0
480291907002,701.0,73.0,126.0,120.0,74.0,308.0
480291907003,1389.0,246.0,134.0,428.0,130.0,451.0
480291607011,1538.0,173.0,396.0,227.0,322.0,420.0
480291607012,1319.0,140.0,109.0,378.0,317.0,375.0
480291718011,1244.0,8.0,119.0,196.0,179.0,742.0
480291718013,1351.0,0.0,199.0,209.0,68.0,875.0
480291718014,1006.0,196.0,62.0,307.0,85.0,356.0
480291718012,2016.0,138.0,240.0,58.0,641.0,939.0
480291802013,2243.0,291.0,762.0,259.0,209.0,722.0
480291802012,842.0,19.0,29.0,81.0,124.0,589.0
480291802014,1261.0,54.0,164.0,109.0,189.0,745.0
480291802011,599.0,26.0,103.0,173.0,32.0,265.0
480291812001,589.0,0.0,14.0,73.0,15.0,487.0
480291812004,1495.0,17.0,18.0,0.0,32.0,1428.0
480291812002,797.0,0.0,0.0,30.0,0.0,767.0
480291812005,1123.0,121.0,14.0,16.0,0.0,972.0
480291514004,918.0,0.0,359.0,99.0,158.0,302.0
480291511003,801.0,66.0,33.0,291.0,99.0,312.0
480291511001,925.0,0.0,630.0,92.0,19.0,184.0
480291514001,905.0,116.0,36.0,250.0,210.0,293.0
480291514002,1548.0,114.0,105.0,409.0,519.0,401.0
480291905012,1594.0,137.0,305.0,124.0,189.0,839.0
480291905013,1046.0,38.0,239.0,74.0,24.0,671.0
480291905011,961.0,0.0,8.0,464.0,123.0,366.0
480291908001,842.0,27.0,13.0,25.0,23.0,754.0
480291908002,1157.0,25.0,0.0,6.0,11.0,1115.0
480291909011,1175.0,0.0,32.0,46.0,23.0,1074.0
480291909012,2364.0,225.0,422.0,238.0,385.0,1094.0
480291909021,1765.0,14.0,224.0,71.0,158.0,1298.0
480291909023,678.0,5.0,62.0,20.0,0.0,591.0
480291810012,1753.0,130.0,61.0,96.0,229.0,1237.0
480291810042,3009.0,648.0,390.0,96.0,211.0,1664.0
480291810041,2299.0,235.0,93.0,173.0,474.0,1324.0
480291901004,1072.0,233.0,150.0,203.0,124.0,362.0
480291901003,1050.0,58.0,56.0,455.0,43.0,438.0
480291901002,940.0,45.0,214.0,71.0,9.0,601.0
480291719021,2151.0,74.0,312.0,41.0,257.0,1467.0
480291311001,621.0,186.0,31.0,134.0,44.0,226.0
480291203008,672.0,52.0,34.0,73.0,0.0,513.0
480291203007,698.0,9.0,0.0,0.0,0.0,689.0
480291501001,1441.0,16.0,104.0,186.0,322.0,813.0
480291501004,1334.0,130.0,166.0,175.0,333.0,530.0
480291506004,1285.0,24.0,277.0,535.0,200.0,249.0
480291506003,933.0,128.0,176.0,185.0,149.0,295.0
480291511007,1708.0,285.0,30.0,314.0,23.0,1056.0
480291511005,1038.0,239.0,381.0,50.0,44.0,324.0
480291511004,1351.0,0.0,63.0,127.0,637.0,524.0
480291918042,2781.0,73.0,17.0,0.0,197.0,2494.0
480291918041,1900.0,14.0,79.0,344.0,0.0,1463.0
480291210004,1067.0,22.0,176.0,106.0,13.0,750.0
480291210003,2843.0,182.0,170.0,621.0,375.0,1495.0
480291210005,1463.0,33.0,369.0,96.0,72.0,893.0
480291210006,1466.0,39.0,1.0,167.0,101.0,1158.0
480291211102,1436.0,112.0,130.0,54.0,0.0,1140.0
480291215062,1002.0,0.0,33.0,83.0,115.0,771.0
480291215061,1129.0,76.0,30.0,177.0,124.0,722.0
480291305001,661.0,332.0,95.0,16.0,85.0,133.0
480291305003,2185.0,401.0,512.0,427.0,161.0,684.0
480291305002,855.0,230.0,237.0,139.0,56.0,193.0
480291305004,1097.0,100.0,379.0,288.0,86.0,244.0
480291904003,776.0,104.0,120.0,140.0,23.0,389.0
480291211081,1246.0,5.0,33.0,2.0,76.0,1130.0
480291211083,1999.0,72.0,129.0,376.0,240.0,1182.0
480291211084,1016.0,0.0,35.0,159.0,100.0,722.0
480291207015,1203.0,20.0,16.0,228.0,31.0,908.0
480291215042,637.0,17.0,15.0,162.0,0.0,443.0
480291215041,1272.0,14.0,81.0,582.0,15.0,580.0
480291503001,974.0,170.0,209.0,31.0,177.0,387.0
480291503004,1689.0,134.0,191.0,646.0,52.0,666.0
480291503003,851.0,115.0,50.0,78.0,55.0,553.0
480291602003,1016.0,8.0,77.0,465.0,83.0,383.0
480291508002,627.0,45.0,2.0,27.0,264.0,289.0
480291508003,937.0,440.0,274.0,29.0,9.0,185.0
480291712003,1461.0,33.0,387.0,418.0,58.0,565.0
480291418001,1163.0,41.0,202.0,90.0,223.0,607.0
480291418002,581.0,89.0,155.0,35.0,114.0,188.0
480291512005,4102.0,183.0,150.0,735.0,236.0,2798.0
480291512003,993.0,321.0,59.0,134.0,58.0,421.0
480291512001,1183.0,96.0,172.0,78.0,34.0,803.0
480291107001,1114.0,180.0,196.0,285.0,112.0,341.0
480291904001,535.0,32.0,9.0,28.0,9.0,457.0
480291719121,5161.0,148.0,46.0,356.0,16.0,4595.0
480291817122,1466.0,58.0,42.0,165.0,123.0,1078.0
480291816023,1475.0,25.0,145.0,496.0,264.0,545.0
480291816021,811.0,55.0,23.0,140.0,5.0,588.0
480291818081,1530.0,256.0,112.0,76.0,19.0,1067.0
480291821021,1726.0,80.0,341.0,0.0,0.0,1305.0
480291911011,847.0,28.0,60.0,0.0,16.0,743.0
480291911012,964.0,12.0,7.0,76.0,67.0,802.0
480291219082,1911.0,0.0,68.0,0.0,84.0,1759.0
480291219091,3303.0,11.0,8.0,14.0,152.0,3118.0
480291219092,4527.0,163.0,65.0,486.0,133.0,3680.0
480291219101,6037.0,16.0,133.0,65.0,12.0,5811.0
480291219102,985.0,0.0,0.0,22.0,0.0,963.0
480291304011,916.0,208.0,195.0,130.0,243.0,140.0
480291304012,935.0,48.0,110.0,279.0,159.0,339.0
480291304013,1254.0,204.0,437.0,125.0,90.0,398.0
480291304014,850.0,167.0,50.0,220.0,158.0,255.0
480291304021,1125.0,123.0,211.0,236.0,41.0,514.0
480291304022,1737.0,422.0,603.0,479.0,107.0,126.0
480291304023,1380.0,210.0,90.0,294.0,381.0,405.0
