block_group,B03002_001E,B03002_002E,B03002_003E,B03002_004E,B03002_006E,B03002_002E_O,B03002_012E
480291215071,1060.0,592.0,336.0,49.0,24.0,183.0,468.0
480291215072,1367.0,752.0,639.0,48.0,10.0,55.0,615.0
480291312002,1272.0,533.0,202.0,301.0,30.0,0.0,739.0
480291401002,674.0,44.0,44.0,0.0,0.0,0.0,630.0
480291401001,673.0,217.0,177.0,25.0,5.0,10.0,456.0
480291404004,703.0,151.0,89.0,6.0,0.0,56.0,552.0
480291101002,713.0,459.0,319.0,79.0,0.0,61.0,254.0
480291209022,1709.0,1441.0,1268.0,49.0,49.0,75.0,268.0
480291209021,2035.0,1335.0,854.0,377.0,0.0,104.0,700.0
480291214033,1866.0,1066.0,634.0,331.0,26.0,75.0,800.0
480291214031,2497.0,1361.0,483.0,616.0,150.0,112.0,1136.0
480291216042,1308.0,920.0,614.0,158.0,10.0,138.0,388.0
480291216043,868.0,562.0,325.0,155.0,0.0,82.0,306.0
480291306004,1315.0,449.0,44.0,382.0,0.0,23.0,866.0
480291207022,869.0,510.0,501.0,8.0,0.0,1.0,359.0
480291213003,732.0,632.0,598.0,0.0,34.0,0.0,100.0
480291213001,2998.0,1541.0,594.0,685.0,262.0,0.0,1457.0
480291703004,628.0,31.0,31.0,0.0,0.0,0.0,597.0
480291703002,267.0,0.0,0.0,0.0,0.0,0.0,267.0
480291703006,946.0,0.0,0.0,0.0,0.0,0.0,946.0
480291703005,1679.0,0.0,0.0,0.0,0.0,0.0,1679.0
480291703003,1127.0,233.0,35.0,198.0,0.0,0.0,894.0
480291704024,596.0,0.0,0.0,0.0,0.0,0.0,596.0
480291704021,2193.0,56.0,9.0,47.0,0.0,0.0,2137.0
480291706001,1291.0,105.0,73.0,16.0,0.0,16.0,1186.0
480291706004,894.0,36.0,36.0,0.0,0.0,0.0,858.0
480291706003,1154.0,60.0,60.0,0.0,0.0,0.0,1094.0
480291707003,2595.0,87.0,86.0,0.0,1.0,0.0,2508.0
480291707002,1127.0,0.0,0.0,0.0,0.0,0.0,1127.0
480291212044,1306.0,719.0,537.0,48.0,120.0,14.0,587.0
480291212043,1031.0,941.0,411.0,406.0,110.0,14.0,90.0
480291404001,936.0,40.0,40.0,0.0,0.0,0.0,896.0
480291404002,1119.0,278.0,184.0,20.0,0.0,74.0,841.0
480291504003,2845.0,24.0,24.0,0.0,0.0,0.0,2821.0
480291215052,745.0,300.0,270.0,30.0,0.0,0.0,445.0
480291403002,1228.0,145.0,124.0,0.0,0.0,21.0,1083.0
480291403003,1235.0,54.0,35.0,0.0,0.0,19.0,1181.0
480291520001,2993.0,573.0,352.0,184.0,21.0,16.0,2420.0
480291701011,846.0,10.0,0.0,10.0,0.0,0.0,836.0
480291701012,1518.0,30.0,0.0,30.0,0.0,0.0,1488.0
480291718022,1191.0,257.0,143.0,114.0,0.0,0.0,934.0
480291718025,804.0,91.0,91.0,0.0,0.0,0.0,713.0
480291718023,1551.0,317.0,80.0,201.0,34.0,2.0,1234.0
480291408004,881.0,43.0,43.0,0.0,0.0,0.0,838.0
480291408001,1335.0,135.0,134.0,1.0,0.0,0.0,1200.0
480291408005,1497.0,168.0,136.0,32.0,0.0,0.0,1329.0
480291408003,423.0,74.0,74.0,0.0,0.0,0.0,349.0
480291408002,1356.0,95.0,79.0,0.0,0.0,16.0,1261.0
480291505023,1004.0,34.0,32.0,2.0,0.0,0.0,970.0
480291505022,1250.0,0.0,0.0,0.0,0.0,0.0,1250.0
480291505021,1171.0,42.0,42.0,0.0,0.0,0.0,1129.0
480291507006,359.0,36.0,36.0,0.0,0.0,0.0,323.0
480291507001,923.0,0.0,0.0,0.0,0.0,0.0,923.0
480291507003,1560.0,12.0,12.0,0.0,0.0,0.0,1548.0
480291601004,2448.0,44.0,44.0,0.0,0.0,0.0,2404.0
480291601003,1631.0,0.0,0.0,0.0,0.0,0.0,1631.0
480291601001,1320.0,47.0,47.0,0.0,0.0,0.0,1273.0
480291813023,2003.0,865.0,609.0,243.0,0.0,13.0,1138.0
480291809021,1093.0,189.0,124.0,47.0,0.0,18.0,904.0
480291809023,1556.0,219.0,219.0,0.0,0.0,0.0,1337.0
480291809022,1264.0,126.0,55.0,38.0,0.0,33.0,1138.0
480291809025,1979.0,317.0,317.0,0.0,0.0,0.0,1662.0
480291810031,1931.0,1139.0,684.0,253.0,147.0,55.0,792.0
480291810051,1875.0,840.0,477.0,274.0,0.0,89.0,1035.0
480291810052,552.0,230.0,171.0,41.0,8.0,10.0,322.0
480291815061,508.0,216.0,174.0,0.0,42.0,0.0,292.0
480291815062,1531.0,587.0,460.0,112.0,15.0,0.0,944.0
480291817151,1078.0,460.0,410.0,24.0,0.0,26.0,618.0
480291203002,569.0,438.0,438.0,0.0,0.0,0.0,131.0
480291203003,1377.0,982.0,641.0,180.0,13.0,148.0,395.0
480291203005,1085.0,1061.0,1034.0,0.0,27.0,0.0,24.0
480291205013,1414.0,618.0,534.0,72.0,12.0,0.0,796.0
480291205015,1365.0,791.0,633.0,63.0,95.0,0.0,574.0
480291205012,1578.0,939.0,289.0,500.0,150.0,0.0,639.0
480291205014,1589.0,821.0,296.0,396.0,56.0,73.0,768.0
480291211152,2660.0,1648.0,1594.0,0.0,0.0,54.0,1012.0
480291211153,1488.0,1223.0,1104.0,117.0,0.0,2.0,265.0
480291211172,1290.0,935.0,910.0,6.0,13.0,6.0,355.0
480291211171,1760.0,1035.0,861.0,60.0,83.0,31.0,725.0
480291720021,5409.0,3244.0,2175.0,669.0,99.0,301.0,2165.0
480291817031,3099.0,1693.0,1483.0,65.0,109.0,36.0,1406.0
480291817032,2278.0,1167.0,891.0,46.0,32.0,198.0,1111.0
480291803003,1572.0,81.0,52.0,29.0,0.0,0.0,1491.0
480291803001,1052.0,79.0,32.0,40.0,0.0,7.0,973.0
480291803002,1436.0,423.0,361.0,49.0,0.0,13.0,1013.0
480291817161,3389.0,504.0,287.0,174.0,0.0,43.0,2885.0
480291910034,921.0,160.0,157.0,3.0,0.0,0.0,761.0
480291910035,822.0,76.0,63.0,13.0,0.0,0.0,746.0
480291910033,1266.0,333.0,220.0,113.0,0.0,0.0,933.0
480291910031,1503.0,414.0,281.0,28.0,0.0,105.0,1089.0
480291910032,4336.0,1146.0,827.0,277.0,0.0,42.0,3190.0
480291214041,1910.0,583.0,432.0,48.0,93.0,10.0,1327.0
480291214042,1784.0,1095.0,122.0,862.0,38.0,73.0,689.0
480291214043,1678.0,733.0,324.0,283.0,16.0,110.0,945.0
480291313001,1499.0,1044.0,384.0,660.0,0.0,0.0,455.0
480291313004,754.0,535.0,106.0,383.0,46.0,0.0,219.0
480291316061,2714.0,1682.0,878.0,466.0,122.0,216.0,1032.0
480291103003,371.0,168.0,91.0,64.0,13.0,0.0,203.0
480291103002,1084.0,201.0,170.0,11.0,20.0,0.0,883.0
480291201001,5289.0,3935.0,2542.0,690.0,189.0,514.0,1354.0
480291206002,916.0,514.0,471.0,10.0,16.0,17.0,402.0
480291206003,669.0,440.0,399.0,15.0,0.0,26.0,229.0
480291206006,459.0,342.0,342.0,0.0,0.0,0.0,117.0
480291206005,956.0,867.0,866.0,1.0,0.0,0.0,89.0
480291517003,1533.0,373.0,373.0,0.0,0.0,0.0,1160.0
480291517002,1594.0,375.0,352.0,0.0,0.0,23.0,1219.0
480291517001,2048.0,489.0,489.0,0.0,0.0,0.0,1559.0
480291607013,945.0,11.0,11.0,0.0,0.0,0.0,934.0
480291306001,877.0,345.0,0.0,345.0,0.0,0.0,532.0
480291306003,994.0,469.0,164.0,305.0,0.0,0.0,525.0
480291306002,859.0,241.0,13.0,228.0,0.0,0.0,618.0
480291402003,788.0,60.0,16.0,28.0,0.0,16.0,728.0
480291402002,729.0,212.0,212.0,0.0,0.0,0.0,517.0
480291402001,618.0,153.0,153.0,0.0,0.0,0.0,465.0
480291402004,816.0,37.0,37.0,0.0,0.0,0.0,779.0
480291309001,2490.0,1415.0,116.0,1158.0,110.0,31.0,1075.0
480291717004,2449.0,636.0,362.0,34.0,74.0,166.0,1813.0
480291719035,1692.0,225.0,190.0,35.0,0.0,0.0,1467.0
