block_group,B08303_001E,B08303_004E_M,B08303_007E_M,B08303_011E_M,B08303_013E_M
480291402003,332.0,40.0,176.0,90.0,26.0
480291402002,327.0,81.0,140.0,106.0,0.0
480291402001,305.0,99.0,144.0,62.0,0.0
480291402004,413.0,118.0,170.0,108.0,17.0
480291309001,908.0,302.0,338.0,184.0,84.0
480291717004,670.0,106.0,126.0,92.0,346.0
480291719035,906.0,319.0,365.0,222.0,0.0
480291717006,320.0,198.0,40.0,21.0,61.0
480291719032,352.0,68.0,137.0,117.0,30.0
480291719034,400.0,116.0,130.0,135.0,19.0
480291509002,328.0,86.0,164.0,78.0,0.0
480291509001,705.0,207.0,287.0,134.0,77.0
480291509005,816.0,385.0,315.0,97.0,19.0
480291705003,419.0,125.0,156.0,85.0,53.0
480291705004,414.0,76.0,209.0,129.0,0.0
480291705002,662.0,224.0,224.0,214.0,0.0
480291805042,871.0,144.0,355.0,286.0,86.0
480291205025,314.0,65.0,181.0,68.0,0.0
480291205023,208.0,79.0,72.0,32.0,25.0
480291205026,400.0,146.0,142.0,112.0,0.0
480291205024,270.0,132.0,58.0,80.0,0.0
480291207012,515.0,101.0,280.0,134.0,0.0
480291207011,440.0,242.0,143.0,55.0,0.0
480291302002,208.0,34.0,93.0,56.0,25.0
480291410003,573.0,162.0,245.0,166.0,0.0
480291410002,387.0,65.0,181.0,87.0,54.0
480291516001,1261.0,155.0,322.0,705.0,79.0
480291516004,545.0,111.0,135.0,252.0,47.0
480291516002,261.0,89.0,37.0,120.0,15.0
480291817051,886.0,127.0,377.0,285.0,97.0
480291817052,778.0,157.0,426.0,187.0,8.0
480291512002,1370.0,476.0,374.0,401.0,119.0
480291606001,527.0,35.0,248.0,244.0,0.0
480291606003,759.0,154.0,374.0,158.0,73.0
480291419003,416.0,55.0,121.0,240.0,0.0
480291419002,1034.0,65.0,324.0,589.0,56.0
480291515003,505.0,111.0,317.0,66.0,11.0
480291515002,424.0,98.0,212.0,91.0,23.0
480291603003,248.0,19.0,212.0,9.0,8.0
480291603002,352.0,77.0,224.0,51.0,0.0
480291603005,680.0,56.0,447.0,171.0,6.0
480291612001,357.0,72.0,147.0,138.0,0.0
480291612002,801.0,143.0,356.0,215.0,87.0
480291804003,347.0,57.0,110.0,164.0,16.0
480291804001,914.0,190.0,495.0,169.0,60.0
480291807012,1548.0,474.0,666.0,408.0,0.0
480291811004,457.0,204.0,200.0,53.0,0.0
480291811002,454.0,206.0,195.0,37.0,16.0
480291811003,1191.0,363.0,649.0,153.0,26.0
