block_group,B19001_001E,B19001_002E,B19001_005E_M,B19001_010E_M,B19001_013E_M,B19001_016E_M,B19001_017E
480291805042,741.0,140.0,140.0,186.0,225.0,50.0,0.0
480291205025,374.0,151.0,89.0,74.0,50.0,10.0,0.0
480291205023,189.0,17.0,61.0,85.0,26.0,0.0,0.0
480291205026,261.0,10.0,30.0,97.0,103.0,21.0,0.0
480291205024,259.0,39.0,26.0,93.0,86.0,4.0,11.0
480291207012,430.0,0.0,133.0,127.0,157.0,13.0,0.0
480291207011,309.0,16.0,21.0,90.0,165.0,17.0,0.0
480291302002,238.0,58.0,49.0,75.0,52.0,4.0,0.0
480291410003,517.0,41.0,178.0,186.0,87.0,25.0,0.0
480291410002,620.0,165.0,237.0,143.0,53.0,22.0,0.0
480291516001,775.0,33.0,223.0,285.0,127.0,107.0,0.0
480291516004,441.0,29.0,26.0,167.0,189.0,30.0,0.0
480291516002,346.0,14.0,117.0,121.0,80.0,14.0,0.0
480291817051,798.0,24.0,126.0,237.0,320.0,91.0,0.0
480291817052,596.0,47.0,21.0,159.0,237.0,132.0,0.0
480291512002,1029.0,43.0,356.0,350.0,231.0,35.0,14.0
480291606001,336.0,14.0,94.0,106.0,122.0,0.0,0.0
480291606003,632.0,113.0,227.0,171.0,107.0,14.0,0.0
480291419003,437.0,0.0,128.0,108.0,126.0,75.0,0.0
480291419002,684.0,14.0,90.0,153.0,300.0,100.0,27.0
480291515003,350.0,28.0,75.0,132.0,93.0,22.0,0.0
480291515002,305.0,32.0,75.0,98.0,51.0,49.0,0.0
480291603003,280.0,60.0,79.0,110.0,23.0,8.0,0.0
480291603002,361.0,58.0,113.0,91.0,84.0,15.0,0.0
480291603005,452.0,92.0,113.0,68.0,125.0,35.0,19.0
480291612001,249.0,52.0,9.0,50.0,94.0,33.0,11.0
480291612002,549.0,50.0,95.0,182.0,181.0,41.0,0.0
480291804003,214.0,8.0,40.0,62.0,81.0,16.0,7.0
480291804001,641.0,45.0,132.0,222.0,148.0,84.0,10.0
480291807012,1473.0,199.0,304.0,315.0,464.0,147.0,44.0
480291811004,316.0,0.0,42.0,96.0,115.0,63.0,0.0
480291811002,458.0,18.0,16.0,149.0,159.0,99.0,17.0
480291811003,987.0,49.0,93.0,126.0,336.0,267.0,116.0
480291909015,402.0,16.0,35.0,74.0,176.0,101.0,0.0
480291909013,251.0,89.0,44.0,105.0,13.0,0.0,0.0
480291809014,307.0,0.0,10.0,107.0,160.0,30.0,0.0
480291813031,629.0,45.0,168.0,189.0,144.0,79.0,4.0
480291815041,833.0,65.0,257.0,171.0,240.0,100.0,0.0
480291815042,1305.0,141.0,176.0,498.0,314.0,147.0,29.0
480291816012,838.0,60.0,181.0,225.0,219.0,133.0,20.0
480291906011,394.0,0.0,27.0,69.0,229.0,69.0,0.0
480291818091,509.0,0.0,64.0,235.0,106.0,93.0,11.0
480291818092,877.0,70.0,148.0,343.0,316.0,0.0,0.0
480291818094,517.0,17.0,46.0,149.0,206.0,65.0,34.0
480291906013,322.0,33.0,94.0,114.0,81.0,0.0,0.0
480291910041,439.0,57.0,59.0,175.0,130.0,18.0,0.0
480291910043,258.0,8.0,42.0,120.0,73.0,15.0,0.0
480291813022,1146.0,51.0,140.0,360.0,472.0,90.0,33.0
480291212063,320.0,16.0,17.0,72.0,147.0,26.0,42.0
480291212061,399.0,0.0,0.0,54.0,140.0,205.0,0.0
480291212065,607.0,8.0,96.0,287.0,216.0,0.0,0.0
480291212062,369.0,0.0,21.0,92.0,75.0,181.0,0.0
480291214022,401.0,11.0,38.0,187.0,130.0,35.0,0.0
480291214021,1636.0,29.0,176.0,462.0,744.0,195.0,30.0
480291218031,541.0,12.0,39.0,115.0,249.0,126.0,0.0
480291218032,273.0,8.0,20.0,103.0,95.0,47.0,0.0
480291218033,776.0,51.0,54.0,160.0,357.0,133.0,21.0
480291218041,732.0,38.0,61.0,141.0,344.0,116.0,32.0
480291218042,958.0,31.0,111.0,172.0,452.0,192.0,0.0
480291218043,741.0,203.0,259.0,104.0,95.0,80.0,0.0
480291308001,1075.0,122.0,299.0,477.0,132.0,34.0,11.0
480291308004,314.0,9.0,143.0,104.0,34.0,24.0,0.0
480291308002,318.0,38.0,102.0,123.0,48.0,7.0,0.0
480291308003,146.0,0.0,40.0,51.0,38.0,9.0,8.0
480291311003,308.0,25.0,57.0,109.0,91.0,26.0,0.0
480291311002,225.0,58.0,26.0,78.0,63.0,0.0,0.0
480291602002,298.0,4.0,25.0,160.0,68.0,41.0,0.0
480291817134,621.0,84.0,207.0,192.0,91.0,47.0,0.0
480291817132,511.0,0.0,12.0,101.0,229.0,169.0,0.0
480291817133,686.0,12.0,83.0,154.0,293.0,144.0,0.0
480291815054,480.0,21.0,72.0,43.0,236.0,108.0,0.0
480291815053,378.0,13.0,12.0,113.0,169.0,71.0,0.0
480291815051,327.0,9.0,10.0,67.0,152.0,81.0,8.0
480291817042,388.0,14.0,99.0,148.0,127.0,0.0,0.0
480291817044,295.0,46.0,11.0,51.0,133.0,54.0,0.0
480291817111,845.0,0.0,69.0,103.0,411.0,242.0,20.0
480291907002,386.0,72.0,91.0,91.0,99.0,17.0,16.0
480291907003,478.0,74.0,85.0,149.0,158.0,12.0,0.0
480291607011,394.0,25.0,151.0,154.0,52.0,6.0,6.0
480291607012,371.0,42.0,75.0,106.0,133.0,15.0,0.0
480291718011,418.0,39.0,87.0,148.0,109.0,29.0,6.0
480291718013,538.0,18.0,160.0,164.0,171.0,13.0,12.0
480291718014,330.0,63.0,51.0,106.0,77.0,13.0,20.0
480291718012,472.0,41.0,72.0,72.0,186.0,96.0,5.0
480291802013,841.0,142.0,297.0,250.0,139.0,13.0,0.0
480291802012,338.0,28.0,19.0,158.0,106.0,27.0,0.0
480291802014,470.0,0.0,99.0,173.0,132.0,66.0,0.0
480291802011,180.0,10.0,8.0,104.0,45.0,13.0,0.0
480291812001,242.0,0.0,29.0,76.0,28.0,93.0,16.0
480291812004,633.0,35.0,15.0,183.0,145.0,209.0,46.0
480291812002,367.0,0.0,0.0,120.0,74.0,113.0,60.0
480291812005,373.0,13.0,30.0,50.0,156.0,93.0,31.0
480291514004,213.0,25.0,41.0,93.0,36.0,18.0,0.0
480291511003,247.0,17.0,58.0,80.0,74.0,18.0,0.0
480291511001,196.0,0.0,128.0,45.0,15.0,8.0,0.0
480291514001,297.0,59.0,15.0,182.0,33.0,8.0,0.0
480291514002,389.0,39.0,85.0,127.0,104.0,34.0,0.0
480291905012,409.0,11.0,80.0,96.0,148.0,71.0,3.0
480291905013,284.0,9.0,7.0,91.0,148.0,29.0,0.0
480291905011,290.0,8.0,57.0,145.0,67.0,13.0,0.0
480291908001,362.0,0.0,28.0,74.0,39.0,79.0,142.0
480291908002,386.0,14.0,17.0,17.0,49.0,103.0,186.0
480291909011,501.0,14.0,50.0,101.0,277.0,59.0,0.0
480291909012,695.0,36.0,208.0,238.0,115.0,98.0,0.0
480291909021,631.0,6.0,142.0,165.0,264.0,54.0,0.0
480291909023,306.0,0.0,35.0,33.0,126.0,97.0,15.0
480291810012,777.0,61.0,137.0,163.0,252.0,158.0,6.0
480291810042,1557.0,147.0,297.0,411.0,565.0,126.0,11.0
480291810041,1054.0,83.0,176.0,341.0,340.0,103.0,11.0
480291901004,344.0,77.0,95.0,80.0,64.0,28.0,0.0
480291901003,367.0,31.0,73.0,128.0,73.0,62.0,0.0
480291901002,379.0,92.0,140.0,57.0,71.0,19.0,0.0
480291719021,1156.0,152.0,312.0,329.0,291.0,72.0,0.0
480291311001,189.0,33.0,55.0,60.0,39.0,2.0,0.0
480291203008,290.0,52.0,21.0,41.0,70.0,0.0,106.0
480291203007,257.0,9.0,0.0,34.0,31.0,80.0,103.0
480291501001,630.0,18.0,147.0,107.0,236.0,81.0,41.0
480291501004,458.0,74.0,100.0,178.0,58.0,24.0,24.0
480291506004,364.0,31.0,149.0,133.0,51.0,0.0,0.0
480291506003,307.0,37.0,135.0,35.0,83.0,17.0,0.0
480291511007,433.0,54.0,93.0,183.0,42.0,61.0,0.0
