block_group,B19051_000E,B19051_001E_R,B19051_002E,B19051_003E,B19052_001E_R,B19052_002E,B19052_003E,B19055_001E_R,B19055_002E,B19055_003E,B19056_001E_R,B19056_002E,B19056_003E,B19057_001E_R,B19057_002E,B19057_003E,B19058_001E_R,B19058_002E,B19058_003E,B19059_001E_R,B19059_002E,B19059_003E
480291620011,568.0,0.8028169014084507,456.0,112.0,0.7711267605633803,438.0,130.0,0.38380281690140844,218.0,350.0,0.09859154929577464,56.0,512.0,0.007042253521126761,4.0,564.0,0.19718309859154928,112.0,456.0,0.1637323943661972,93.0,475.0
480291701022,260.0,0.7384615384615385,192.0,68.0,0.7384615384615385,192.0,68.0,0.4423076923076923,115.0,145.0,0.08846153846153847,23.0,237.0,0.0,0.0,260.0,0.2076923076923077,54.0,206.0,0.18461538461538463,48.0,212.0
480291701021,339.0,0.640117994100295,217.0,122.0,0.5486725663716814,186.0,153.0,0.36283185840707965,123.0,216.0,0.0471976401179941,16.0,323.0,0.11504424778761062,39.0,300.0,0.2743362831858407,93.0,246.0,0.26548672566371684,90.0,249.0
480291807022,486.0,0.6358024691358025,309.0,177.0,0.5843621399176955,284.0,202.0,0.43621399176954734,212.0,274.0,0.10082304526748971,49.0,437.0,0.01440329218106996,7.0,479.0,0.051440329218107,25.0,461.0,0.13580246913580246,66.0,420.0
480291807023,174.0,0.9310344827586207,162.0,12.0,0.764367816091954,133.0,41.0,0.06896551724137931,12.0,162.0,0.06321839080459771,11.0,163.0,0.0,0.0,174.0,0.3505747126436782,61.0,113.0,0.0,0.0,174.0
480291807025,238.0,0.6428571428571429,153.0,85.0,0.4495798319327731,107.0,131.0,0.27310924369747897,65.0,173.0,0.0,0.0,238.0,0.06722689075630252,16.0,222.0,0.06722689075630252,16.0,222.0,0.18067226890756302,43.0,195.0
480291809012,434.0,0.6152073732718893,267.0,167.0,0.6152073732718893,267.0,167.0,0.30414746543778803,132.0,302.0,0.08294930875576037,36.0,398.0,0.02304147465437788,10.0,424.0,0.14055299539170507,61.0,373.0,0.14055299539170507,61.0,373.0
480291809015,322.0,0.7142857142857143,230.0,92.0,0.7142857142857143,230.0,92.0,0.5,161.0,161.0,0.031055900621118012,10.0,312.0,0.0,0.0,322.0,0.0,0.0,322.0,0.34782608695652173,112.0,210.0
480291106003,312.0,0.09615384615384616,30.0,282.0,0.09615384615384616,30.0,282.0,0.7083333333333334,221.0,91.0,0.5064102564102564,158.0,154.0,0.16025641025641027,50.0,262.0,0.7115384615384616,222.0,90.0,0.060897435897435896,19.0,293.0
480291108002,284.0,0.573943661971831,163.0,121.0,0.573943661971831,163.0,121.0,0.2746478873239437,78.0,206.0,0.0880281690140845,25.0,259.0,0.02112676056338028,6.0,278.0,0.28169014084507044,80.0,204.0,0.014084507042253521,4.0,280.0
480291108001,319.0,0.7836990595611285,250.0,69.0,0.774294670846395,247.0,72.0,0.2507836990595611,80.0,239.0,0.0,0.0,319.0,0.006269592476489028,2.0,317.0,0.08150470219435736,26.0,293.0,0.07523510971786834,24.0,295.0
480291208004,309.0,0.7508090614886731,232.0,77.0,0.7508090614886731,232.0,77.0,0.34627831715210355,107.0,202.0,0.0,0.0,309.0,0.05501618122977346,17.0,292.0,0.05501618122977346,17.0,292.0,0.0970873786407767,30.0,279.0
